country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,
Afghanistan,61.80699921,61.85100174,62.28099823,62.81399918,63.21300125,63.66500092,64.17299652,64.51100159,64.85800171,64.93900299,65.02799988
Angola,69.51499939,70.73100281,72.13200378,72.16799927,72.09799957,72.10299683,72.18099976,72.14299774,72.18699646,72.03900146,71.98200226
Albania,47.07699966,46.62599945,48.20399857,49.75999832,45.13999939,44.85100174,46.80899811,47.72499847,48.45800018,48.26900101,48.12799835
Andorra,,,,,,,,,,,
Arab World,43.63837956,44.00829644,43.697464,43.73876429,43.96616247,43.77654963,43.47631624,43.48676593,43.46335866,43.47453331,43.46550903
United Arab Emirates,80.09700012,81.25800323,81.48600006,81.58999634,81.7480011,82.11499786,82.59300232,82.27700043,81.29299927,80.88200378,80.67199707
Argentina,55.94200134,55.93500137,56.47000122,56.31299973,56.11500168,55.51100159,55.55199814,55.56100082,55.57400131,54.75799942,54.32799911
Armenia,46.38000107,48.22499847,49.41400146,49.9070015,50.92499924,49.90599823,48.8730011,48.33399963,48.18799973,48.38899994,48.46300125
American Samoa,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,
Australia,61.88600159,62.11800003,62.22200012,61.8409996,61.32400131,60.82300186,61.10300064,61.18299866,61.49499893,61.52600098,61.45500183
Austria,56.79700089,57.06800079,57.28099823,57.36299896,57.21099854,56.77999878,56.6609993,56.79299927,57.03900146,57.34400177,57.27399826
Azerbaijan,59.83499908,60.16799927,60.52399826,60.93799973,61.3390007,61.85800171,62.26499939,62.93500137,63.23699951,62.87200165,62.49000168
Burundi,78.18900299,77.89600372,77.60099792,77.35900116,77.12400055,76.93699646,77.22799683,77.51200104,77.80400085,77.82499695,77.81099701
Belgium,49.16199875,49.49300003,49.28300095,49.13100052,48.98600006,48.98600006,48.91199875,49.06399918,49.59500122,49.90499878,49.72800064
Benin,70.56400299,70.30599976,68.98899841,68.95899963,69.03099823,69.15200043,69.26599884,69.35399628,69.58000183,69.69999695,69.85299683
Burkina Faso,68.06199646,66.9240036,65.84400177,64.63800049,63.43000031,62.36399841,62.2519989,62.50600052,62.75999832,62.59799957,62.40000153
Bangladesh,53.94300079,54.78699875,54.53499985,54.29999924,54.04499817,54.01800156,53.98199844,53.97999954,56.13999939,56.19400024,56.2159996
Bulgaria,50.62599945,47.91799927,46.61800003,46.56100082,46.89199829,47.9640007,49.22700119,49.40599823,52.04000092,52.43899918,52.56499863
Bahrain,70.66200256,71.40399933,70.60299683,70.63800049,70.64900208,70.7519989,70.87000275,71.16600037,71.73500061,72.13899994,72.55200195
"Bahamas, The",64.33999634,64.16200256,64.07800293,64.43199921,62.76900101,64.48799896,65.72200012,65.11299896,65.30400085,65.72000122,65.94400024
Bosnia and Herzegovina,36.70600128,35.02700043,34.72000122,34.29399872,34.31800079,34.0320015,33.81600189,34.84799957,37.30899811,37.05599976,36.7879982
Belarus,58.77099991,59.20000076,59.50600052,59.81499863,60.12599945,60.34700012,60.47299957,60.50999832,60.36100006,60.04600143,59.6780014
Belize,59.89500046,59.39500046,59.31100082,58.93500137,60.0340004,59.44400024,59.80799866,61.51200104,60.92499924,60.86399841,60.97700119
Bermuda,,,,,,,,,,,
Bolivia,69.99700165,70.1210022,70.22499847,67.50099945,67.64600372,69.85900116,64.98999786,68.45200348,65.69300079,65.68000031,65.68499756
Brazil,60.29499817,59.78499985,59.24399948,59.72200012,59.74200058,59.68399811,58.69100189,56.42399979,55.87799835,55.92399979,55.98899841
Barbados,61.60100174,60.73600006,60.26800156,59.00099945,59.59500122,57.30799866,58.2159996,59.86000061,59.68299866,59.26900101,58.8769989
Brunei Darussalam,62.11500168,61.99399948,61.93199921,61.72100067,61.48799896,61.36800003,60.68199921,59.98400116,59.30400085,59.13700104,58.88299942
Bhutan,68.86399841,67.50800323,65.77999878,64.21600342,64.2009964,62.69200134,64.97399902,65.14900208,65.34500122,65.49500275,65.6230011
Botswana,52.95999908,49.50799942,53.07500076,55.95600128,58.23600006,58.42499924,58.80500031,58.93799973,59.30199814,59.32099915,59.35800171
Central African Republic,67.5759964,67.49900055,67.48699951,67.52700043,67.6780014,67.54599762,67.46499634,67.44599915,67.47799683,67.43000031,67.38899994
Canada,61.18099976,61.2179985,61.38700104,61.37599945,61.48799896,61.1590004,61.01499939,60.81399918,61.30699921,61.36999893,61.0530014
Central Europe and the Baltics,50.44413651,50.01800253,49.91134284,50.16396105,50.25287226,51.28434468,51.98926126,52.76328321,54.04593418,54.36601415,54.25669609
Switzerland,65.45700073,63.72800064,64.48100281,64.49500275,64.35299683,64.68299866,64.93699646,65.19200134,65.09400177,64.9280014,64.80799866
Channel Islands,54.27700043,54.05500031,53.52399826,53.3219986,53.22200012,53.38299942,53.47200012,53.47700119,53.45299911,53.23600006,53.00899887
Chile,53.48400116,55.63899994,57.41799927,57.77500153,58.13700104,58.05199814,58.21300125,57.95299911,58.02700043,57.92100143,57.83499908
China,68.09300232,67.77899933,67.59999847,67.3710022,67.17500305,66.95300293,66.67900085,66.42099762,66.16400146,65.68399811,65.1760025
Cote d'Ivoire,57.18399811,56.51499939,55.67100143,55.19499969,56.43000031,56.26100159,56.07799911,55.8769989,55.92100143,55.87799835,55.86199951
Cameroon,75.08499908,72.81500244,72.99900055,73.20600128,73.36799622,73.59200287,73.62999725,73.72000122,73.82499695,73.6989975,73.58200073
"Congo, Dem. Rep.",64.92199707,63.67900085,62.36999893,61.15299988,61.16600037,61.29800034,61.25,61.16199875,61.23600006,60.97299957,60.66400146
"Congo, Rep.",58.18799973,59.63499832,61.25999832,62.67100143,62.65100098,62.89899826,62.71099854,62.71699905,62.29399872,62.04899979,61.94400024
Colombia,60.14400101,61.63399887,62.83599854,63.93099976,64.08599854,64.46600342,64.9469986,64.2990036,63.81100082,63.62900162,63.52700043
Comoros,40.66199875,40.81999969,40.97600174,41.16899872,41.36399841,41.59199905,41.83800125,42.06800079,42.30400085,42.44499969,42.5870018
Cabo Verde,59.02500153,59.36700058,59.5359993,59.48099899,59.48199844,59.88000107,60.08200073,60.17200089,60.42300034,60.61800003,60.7859993
Costa Rica,57.21900177,57.1570015,54.01100159,57.51699829,57.70299911,57.18700027,56.20600128,54.08599854,55.12799835,55.16999817,55.13199997
Caribbean small states,57.28496669,56.62340639,56.33275505,55.99300291,56.04899163,56.57754122,56.63127399,57.05026268,57.55925139,58.17724701,58.14760459
Cuba,55,54.125,53.57899857,53.1269989,53,53.08599854,52.98500061,52.72000122,52.49700165,52.40999985,52.27500153
Curacao,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,
Cyprus,60.18600082,60.05400085,58.22700119,55.41899872,52.74200058,53.0719986,53.29600143,53.96900177,55.40399933,57.13000107,57.11100006
Czech Republic,54.69800186,54.10200119,54.31800079,54.56700134,55.22700119,55.80899811,56.61199951,57.76399994,58.70199966,58.79800034,58.5359993
Germany,54.76399994,55.30099869,56.52799988,56.76100159,57.16600037,57.36999893,57.49200058,57.99900055,58.38600159,58.54199982,58.625
Djibouti,54.91799927,54.5340004,54.6629982,54.8409996,55.29100037,55.36800003,55.85400009,55.93700027,55.90499878,55.96900177,56.06700134
Dominica,,,,,,,,,,,
Denmark,61.39799881,59.56299973,59.11399841,58.41999817,57.9640007,57.99499893,58.1969986,59.39400101,58.45899963,58.86299896,58.88199997
Dominican Republic,53.03900146,54.6269989,56.19300079,55.79899979,55.7159996,56.48899841,58.71900177,59.25699997,60.23500061,60.30599976,60.36500168
Algeria,37.8429985,38.14300156,38.27299881,38,39.39400101,37.27899933,36.81600189,37.18399811,36.40800095,36.29999924,36.10599899
East Asia & Pacific (excluding high income),67.56568744,67.42041244,67.43671731,67.35743831,67.11104131,66.94093508,66.62381659,66.31133019,66.08109448,65.71631803,65.33479245
Early-demographic dividend,54.93000643,54.70571647,54.37311677,54.07634615,53.9894384,53.98073476,53.94049713,53.93614066,54.10046115,54.068958,54.00380162
East Asia & Pacific,66.42524766,66.29415244,66.32866595,66.26446741,66.08643227,65.98579934,65.73675584,65.50720536,65.35768126,65.03803246,64.6910891
Europe & Central Asia (excluding high income),52.60315611,53.16915696,53.78517643,54.13624002,54.2995792,54.20311167,54.34069707,54.477587,54.71575388,54.59057469,54.23663952
Europe & Central Asia,52.63696837,52.63940515,52.87809054,52.86912664,52.80302,52.95144479,53.26410303,53.65012016,54.06949407,54.18719075,54.05179159
Ecuador,63.10800171,62.40499878,62.09700012,62.84799957,62.35699844,61.90599823,64.15699768,65.36399841,66.52300262,66.41400146,66.29499817
