country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,
Afghanistan,42.70899963,42.73500061,43.32799911,44.11700058,45.03900146,46.01699829,47.00099945,47.76599884,48.47399902,48.65999985,48.84899902
Angola,75.2559967,75.30699921,75.34400177,75.38899994,75.43299866,75.46499634,75.47899628,75.47000122,75.4509964,75.41200256,75.37200165
Albania,44.94499969,45.69300079,47.10400009,48.80599976,44.65000153,44.78900146,47.67599869,47.45899963,47.31200027,47.19100189,47.08100128
Andorra,,,,,,,,,,,
Arab World,20.05265057,20.16902631,20.26895501,20.45308547,20.75303452,20.68616455,20.49240906,20.58928782,20.53602352,20.53744756,20.52522813
United Arab Emirates,42.51499939,44.02899933,45.14300156,46.21300125,47.26300049,48.32300186,49.39599991,50.16199875,51.26699829,51.14899826,51.06700134
Argentina,48.82300186,47.83300018,48.10200119,48.18799973,47.79000092,47.1570015,47.82500076,48.47999954,49.11800003,48.96699905,48.81399918
Armenia,48.29899979,49.5870018,52.09199905,51.96900177,52.63100052,51.9469986,51.16600037,49.44100189,49.41999817,49.57500076,49.67399979
American Samoa,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,
Australia,58.8219986,58.70600128,58.95199966,58.82600021,58.70700073,58.64899826,59.06600189,59.24700165,59.69300079,59.64500046,59.5909996
Austria,53.3730011,53.50699997,53.8390007,54.3370018,54.59899902,54.56200027,54.5359993,54.94599915,54.86899948,54.82600021,54.74599838
Azerbaijan,59.61700058,60.22299957,60.81399918,61.10400009,61.32300186,61.92300034,62.51699829,62.96300125,63.26200104,63.11299896,62.91600037
Burundi,80.61000061,80.34999847,80.11199951,79.91799927,79.7480011,79.5739975,79.84400177,80.07900238,80.28600311,80.34899902,80.36399841
Belgium,46.74599838,47.48899841,46.80500031,46.88899994,47.59400177,48.01100159,48.02399826,47.76599884,47.89199829,47.88899994,47.86700058
Benin,68.93399811,69.22399902,68.08899689,68.20700073,68.35199738,68.51200104,68.68000031,68.83599854,69.01699829,69.1760025,69.33499908
Burkina Faso,60.0929985,59.7179985,59.3409996,58.97100067,58.60699844,58.24900055,58.37599945,58.49700165,58.6269989,58.4620018,58.29199982
Bangladesh,29.38199997,29.88299942,30.37100029,30.86400032,31.36400032,31.87100029,32.38399887,32.88999939,35.85200119,35.99900055,36.14300156
Bulgaria,48.0890007,47.69800186,47.21699905,47.82500076,48.52799988,48.62900162,48.63299942,47.76499939,49.6269989,49.52999878,49.41600037
Bahrain,42.60400009,43.76300049,43.00400162,43.20299911,43.40499878,43.61500168,43.80099869,44.01100159,44.35200119,44.47299957,44.61299896
"Bahamas, The",68.63999939,68.74299622,68.55500031,68.61699677,68.43699646,68.18000031,67.7440033,67.53099823,67.52700043,67.56800079,67.54000092
Bosnia and Herzegovina,37.22399902,37.06399918,36.8370018,36.54700089,36.27399826,35.97200012,35.66699982,35.25899887,35.72600174,35.62799835,35.52099991
Belarus,57.15200043,57.54000092,57.86100006,58.13600159,58.35800171,58.52700043,58.64199829,58.66500092,58.39500046,58.1269989,57.82699966
Belize,50.74700165,51.93799973,53.23500061,54.52700043,53.70100021,52.93000031,52.2120018,52.76800156,52.92499924,53.28099823,53.64899826
Bermuda,,,,,,,,,,,
Bolivia,62.36700058,62.01900101,61.65100098,57.94400024,58.82099915,60.90000153,54.50899887,60.3219986,56.58599854,56.59500122,56.61100006
Brazil,54.9659996,53.57600021,52.17300034,53.07799911,52.97600174,52.86000061,53.37799835,53.32099915,54.16799927,54.02999878,53.88199997
Barbados,63.60699844,63.49200058,63.2879982,62.06100082,63.23099899,61.85599899,61.86000061,62.56800079,62.23400116,61.89400101,61.52799988
Brunei Darussalam,56.6590004,56.9280014,57.19100189,57.41600037,57.61800003,57.81000137,58,58.18799973,58.36199951,58.22000122,58.0719986
Bhutan,67.11100006,64.55699921,62.27000046,63.50299835,58.18700027,54.93099976,57.76499939,57.89500046,57.97900009,58.20299911,58.38899994
Botswana,56.26599884,53.54600143,57.42599869,61.10699844,64.55400085,64.90799713,65.23100281,65.52400208,65.83699799,66.19200134,66.51999664
Central African Republic,65.65599823,65.66300201,65.5059967,65.3219986,65.05599976,64.83899689,64.625,64.69100189,64.79100037,64.72399902,64.66699982
Canada,61.87400055,61.85800171,61.60100174,61.61199951,61.68399811,61.0870018,60.77000046,60.80699921,61.01599884,60.84600067,60.65800095
Central Europe and the Baltics,47.55708602,47.98868806,47.89052677,48.31351817,48.40851095,48.81178329,48.81878539,48.80714267,49.42306021,49.22638721,49.01801371
Switzerland,61.64099884,59.91899872,60.5870018,60.93299866,61.26200104,62.01900101,62.39500046,62.88499832,62.60100174,62.60599899,62.58800125
Channel Islands,50.10599899,50.30799866,49.10599899,49.11299896,49.22299957,49.65999985,49.85499954,49.94400024,49.89500046,49.63499832,49.38100052
Chile,46.26599884,47.05699921,48.94499969,49.15499878,49.56600189,50.13100052,50.10900116,50.35100174,50.90999985,51.03099823,51.13299942
China,64.37599945,63.77700043,63.56999969,63.40100098,63.1780014,62.92699814,62.60699844,62.22999954,61.84400177,61.25699997,60.63700104
Cote d'Ivoire,48.20299911,48.16600037,48.12400055,48.08599854,48.05500031,48.0379982,48.04100037,48.0530014,48.21900177,48.27899933,48.34799957
Cameroon,73.24900055,70.58100128,70.68399811,70.7990036,70.92299652,71.04699707,71.16999817,71.27200317,71.3730011,71.20400238,71.02700043
"Congo, Dem. Rep.",65.27700043,63.92300034,62.5379982,61.13199997,61.11600113,61.11700058,61.13000107,61.10900116,61.11600113,60.83200073,60.54600143
"Congo, Rep.",67.27799988,67.43399811,67.37599945,67.30899811,67.23500061,67.15899658,67.08100128,67.04499817,67.03099823,66.93299866,66.82299805
Colombia,55.09199905,56.46699905,57.29600143,58.7519989,58.65000153,58.6629982,59.24900055,58.88399887,58.55799866,58.59000015,58.61299896
Comoros,34.75400162,35.09400177,35.375,35.67200089,35.97800064,36.29399872,36.62099838,36.89699936,37.21099854,37.42900085,37.64199829
Cabo Verde,57.85599899,58.69400024,59.67300034,60.65999985,61.63800049,62.5909996,63.50600052,64.1230011,64.68299866,65.11599731,65.51000214
Costa Rica,46.34400177,46.64400101,45.27899933,50.26900101,49.79000092,49.14899826,48.27000046,44.71500015,45.4070015,45.65000153,45.86000061
Caribbean small states,52.92812853,52.93271053,52.98941376,53.39472471,54.04514093,54.13651019,53.89209325,54.61697676,54.66949882,54.77882213,54.84412855
Cuba,42.61899948,42.26399994,42.09500122,41.54999924,41.375,41.16400146,40.85200119,40.48400116,40.16600037,40.02399826,39.84999847
Curacao,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,
Cyprus,56.50500107,57.6269989,56.80799866,56.18199921,56.27000046,57.81900024,57.88299942,56.99499893,57.25799942,57.24499893,57.20000076
Czech Republic,49.50799942,49.23199844,49.43099976,50.06700134,50.98699951,50.9679985,51.42200089,52.06499863,52.53699875,52.44200134,52.33399963
Germany,52.5320015,52.78900146,53.65800095,53.70399857,54.30899811,54.51399994,54.60599899,54.95999908,55.2120018,55.24900055,55.26800156
Djibouti,50.81999969,51.31200027,51.85800171,52.40499878,52.94499969,53.47299957,53.97900009,54.35100174,54.72499847,54.81200027,54.90800095
Dominica,,,,,,,,,,,
Denmark,60.60900116,59.79899979,59.63000107,59.10699844,58.58599854,58.00999832,57.70800018,59.31200027,58.10200119,58.04600143,57.98899841
Dominican Republic,39.04299927,41.62400055,44.7820015,44.4090004,44.9090004,45.44100189,49.59199905,50.34199905,50.71099854,50.86399841,51.00299835
Algeria,14.20600033,14.37899971,15.23900032,16.15699959,16.88199997,15.34000015,15.18999958,15.02700043,14.87699986,14.91600037,14.91800022
East Asia & Pacific (excluding high income),62.16370187,61.76217073,61.70870219,61.60824615,61.30365288,61.09794633,60.78906448,60.41455771,60.08437061,59.66265634,59.21547175
Early-demographic dividend,35.1320787,34.75961328,34.2637222,33.86735024,33.96153996,34.0280975,34.25166416,34.48077973,34.73503061,34.71822477,34.69207872
East Asia & Pacific,60.73578535,60.38776992,60.33991828,60.26840916,60.06815768,59.95503705,59.73295612,59.46779209,59.25288568,58.87956755,58.48251589
Europe & Central Asia (excluding high income),48.62250458,48.73527987,49.00524063,48.95094505,49.07257421,48.90156691,49.03957051,49.11508586,49.19106207,48.89935942,48.58845934
