country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,
Afghanistan,82.83300018,82.70400238,82.59400177,82.48200226,82.38600159,82.32299805,82.29799652,82.20700073,82.14800262,82.13400269,82.12799835
Angola,80.44300079,80.46499634,80.55500031,80.58200073,80.54599762,80.47899628,80.3789978,80.30599976,80.17900085,80.08699799,79.98899841
Albania,64.29199982,62.98400116,64.41100311,66.11699677,62.64599991,63.88199997,65.16100311,65.06099701,64.9960022,64.88200378,64.7519989
Andorra,,,,,,,,,,,
Arab World,74.12665635,74.62709778,74.69428634,74.77601679,74.94668192,74.58297344,74.10049211,73.74819253,73.71077228,73.6990528,73.67468744
United Arab Emirates,93.60700226,94.54199982,94.36000061,94.23400116,94.23100281,94.40200043,94.70999908,94.06300354,93.54299927,93.36799622,93.40799713
Argentina,74.56099701,74.32299805,74.5019989,74.10299683,73.9240036,73.47499847,73.35099792,73.16699982,72.96099854,72.8219986,72.68900299
Armenia,67.69599915,71.61699677,70.89600372,70.51499939,70.56900024,70.78600311,70.16300201,69.75099945,69.70200348,69.86699677,69.93199921
American Samoa,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,
Australia,72.33100128,72.4509964,72.2460022,71.77200317,71.41200256,70.98699951,71.14099884,70.65100098,70.70200348,70.53099823,70.34999847
Austria,67.05899811,66.86399841,66.62400055,66.64800262,66.64199829,66.10199738,65.99299622,66.22200012,66.15299988,65.91799927,65.64800262
Azerbaijan,67.59799957,67.52300262,67.37200165,67.63899994,67.96399689,68.36199951,68.68199921,69.71399689,70.04499817,69.72299957,69.35199738
Burundi,78.56999969,78.23999786,77.81400299,77.42199707,77.04699707,76.66799927,77.02600098,77.32900238,77.61299896,77.63700104,77.60600281
Belgium,60.375,60.79299927,59.67399979,59.72200012,59.70600128,59.38299942,59.14400101,58.96300125,59.10900116,58.87799835,58.63299942
Benin,73.68299866,72.9509964,73.76399994,73.69999695,73.59300232,73.48699951,73.42900085,73.38300323,73.30799866,73.30999756,73.31300354
Burkina Faso,83.02500153,81.70500183,80.30500031,78.81300354,77.22399902,75.53299713,75.45500183,75.36299896,75.24900055,75.10900116,74.96199799
Bangladesh,83.7009964,83.14700317,82.59999847,82.0490036,81.49299622,80.93299866,80.3690033,79.80500031,81.41100311,81.31700134,81.21900177
Bulgaria,61.01800156,59.52799988,58.23300171,58.70299911,59.59000015,60.08599854,60.14799881,59.58100128,61.74000168,61.6230011,61.48799896
Bahrain,86.85700226,87.38600159,86.64700317,86.84899902,86.98100281,87.05899811,86.99500275,86.94499969,87.1289978,87.24900055,87.44799805
"Bahamas, The",81.88500214,81.86199951,81.81999969,81.69799805,81.77600098,81.89600372,82.09400177,82.11399841,82.0039978,82.01100159,81.95300293
Bosnia and Herzegovina,60.0719986,59.92599869,59.66500092,59.3390007,58.93799973,58.5340004,58.41899872,58.80099869,58.69800186,58.58599854,58.45500183
Belarus,69.06199646,69.5510025,69.90499878,70.2460022,70.55599976,70.80799866,70.99700165,70.94999695,70.64900208,70.3259964,69.96199799
Belize,82.63300323,82.67099762,82.91699982,83.17299652,82.51699829,81.78399658,80.9489975,81.13800049,81.3219986,81.39900208,81.4940033
Bermuda,,,,,,,,,,,
Bolivia,81.86100006,82.04599762,82.10600281,80.01300049,79.91799927,81.80999756,79.74500275,81.03600311,79.34500122,79.34999847,79.35900116
Brazil,77.44799805,76.61199951,75.7460022,76.24299622,76.10299683,75.65799713,75.42199707,74.94499969,74.60099792,74.43099976,74.2539978
Barbados,73.8809967,73.05200195,72.97399902,71.96399689,72.01899719,69.0490036,69.94100189,70.4960022,70.09500122,69.63300323,69.15699768
Brunei Darussalam,75.51100159,75.29799652,75.00299835,74.59799957,74.11499786,73.60700226,73.09400177,72.56400299,72.01699829,71.67099762,71.30400085
Bhutan,75.62599945,74.31800079,72.83200073,67.30999756,72.8219986,72.41899872,74.125,74.22599792,74.33699799,74.49099731,74.58699799
Botswana,70.375,67.27799988,71.95999908,75.52400208,78.26899719,78.26300049,78.39700317,78.40799713,78.41300201,78.64099884,78.84100342
Central African Republic,79.75499725,79.66000366,79.92199707,80.0719986,80.64700317,80.59500122,80.41000366,80.13200378,79.78299713,79.8030014,79.83300018
Canada,71.77200317,71.44400024,71.28299713,70.93000031,70.78500366,70.44999695,70.45200348,70.10600281,70.02300262,69.73899841,69.43699646
Central Europe and the Baltics,63.40610089,63.75108669,63.46881059,63.83606067,64.02955326,64.5551551,64.69860407,64.76662326,65.4377951,65.14528277,64.82916219
Switzerland,75.22899628,74.30799866,74.62599945,74.38700104,74.10199738,74.1230011,74.22499847,74.42700195,74.32499695,74.08599854,73.82700348
Channel Islands,68.06999969,67.56700134,67.57800293,67.23699951,66.94300079,66.59200287,66.31099701,65.96700287,65.67900085,65.40699768,65.10900116
Chile,74.8809967,74.97100067,75.47499847,75.10199738,74.85600281,74.68900299,74.84300232,74.33100128,74.20700073,74.20500183,74.19000244
China,78.2440033,77.87999725,77.70899963,77.54499817,77.35600281,77.13999939,76.88200378,76.56700134,76.26599884,75.8690033,75.43000031
Cote d'Ivoire,73.25800323,72.27300262,71.27200317,70.26100159,69.2480011,68.2460022,67.26300049,66.28399658,66.11699677,65.99099731,65.88200378
Cameroon,82.7440033,81.35900116,81.4509964,81.52899933,81.57900238,81.58699799,81.55000305,81.52200317,81.45600128,81.36499786,81.26499939
"Congo, Dem. Rep.",69.57299805,68.73300171,67.875,66.9940033,66.96099854,66.87200165,66.77400208,66.76999664,66.65699768,66.46099854,66.25800323
"Congo, Rep.",71.4469986,71.50900269,71.80599976,71.97699738,72.0530014,71.98100281,71.92299652,71.89700317,71.66100311,71.56199646,71.44599915
Colombia,82.41400146,82.69999695,83.19499969,83.56600189,82.92700195,83.01000214,83.04299927,82.60099792,82.13400269,82.04199982,81.94100189
Comoros,50.11500168,50.13199997,50.18899918,50.24900055,50.30099869,50.39099884,50.49700165,50.57400131,50.60900116,50.69400024,50.77000046
Cabo Verde,74.53299713,74.42700195,74.24700165,74.05799866,73.84700012,73.60199738,73.31900024,73.20400238,73.09500122,73.15399933,73.1780014
Costa Rica,77.81099701,76.64900208,75.08399963,77.38400269,76.85500336,76.77400208,75.41400146,73.80500031,74.7990036,74.63200378,74.42199707
Caribbean small states,74.54434598,73.8810364,73.45992514,73.23799075,73.3060136,73.30548795,73.34243958,73.28805476,73.41132854,73.31454574,73.19251351
Cuba,69.34999847,68.86499786,68.68900299,68.625,68.34700012,68.0739975,67.84999847,67.63600159,67.41100311,67.36299896,67.2519989
Curacao,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,
Cyprus,70.76999664,70.61199951,69.68499756,69.58499908,69.19999695,68.73400116,67.42900085,67.04699707,67.3690033,67.15399933,66.90200043
Czech Republic,68.20700073,67.9509964,67.47499847,67.69400024,68.14800262,68.34600067,68.24099731,68.6309967,68.76399994,68.43800354,68.09300232
Germany,66.57299805,66.46099854,66.73000336,66.59799957,66.63400269,66.52400208,66.21700287,66.27500153,66.34200287,66.21600342,66.0739975
Djibouti,73.58599854,73.2990036,72.96399689,72.63999939,72.32499695,72,71.67099762,71.42099762,71.14099884,71.14099884,71.13899994
Dominica,,,,,,,,,,,
Denmark,70.18199921,69.06999969,68.40899658,67.35299683,66.16100311,66.26300049,66.44000244,67.39299774,66.02999878,65.93399811,65.84500122
Dominican Republic,73.51799774,73.97899628,75.22100067,75.58699799,75.73100281,76.05000305,77.875,77.84300232,77.58200073,77.58499908,77.57499695
Algeria,69.72200012,70.04599762,69.48799896,68.9280014,70.1969986,67.40599823,67.43900299,67.49199677,67.56500244,67.42199707,67.16999817
East Asia & Pacific (excluding high income),78.99169437,78.71578816,78.70944481,78.62681197,78.4077749,78.21384308,77.9474834,77.54119228,77.26966441,76.96237516,76.62480553
Early-demographic dividend,79.57924448,79.28580545,79.07689887,78.91203464,78.79246329,78.60551473,78.47830536,78.24419027,78.19106678,78.14288111,78.08873788
East Asia & Pacific,78.17952679,77.90403008,77.86834162,77.76702059,77.56654136,77.41257586,77.17700857,76.82777689,76.59462857,76.3016608,75.9823109
Europe & Central Asia (excluding high income),68.21882063,68.61440332,68.91808547,68.98752727,69.25852429,69.47200026,69.79619559,69.97124667,70.04354909,69.83487076,69.58368731
Europe & Central Asia,66.64444859,66.65203716,66.64894288,66.69418244,66.68131027,66.69021739,66.77285738,66.85256394,66.86678344,66.63464035,66.37391124
Ecuador,81.23300171,80.4940033,79.84200287,79.85199738,79.48999786,80.03800201,81.18399811,81.45600128,81.95999908,81.83699799,81.69799805
"Egypt, Arab Rep.",74.61599731,75.69100189,75.85399628,76.27799988,76.4980011,76.26300049,74.06600189,73.31400299,73.19499969,73.22299957,73.21099854
Euro area,64.77648267,64.42805411,64.11345662,64.08617108,63.75165517,63.45443164,63.28954933,63.2194315,63.19530193,62.90169114,62.5880596
Eritrea,86.2539978,86.55999756,86.78399658,87,87.1989975,87.35099792,87.43000031,87.3219986,87.13400269,87.09500122,87.04699707
Spain,67.59600067,67.30699921,66.67099762,66.15499878,65.5,64.96600342,64.70300293,64.23000336,63.83599854,63.35900116,62.84199905
Estonia,68.17700195,67.06999969,67.89700317,68.28700256,68.31900024,68.90200043,69.51599884,70.56700134,71.23999786,70.88899994,70.48999786
Ethiopia,89.17299652,88.9260025,88.69300079,88.46099854,88.23300171,87.76699829,87.3010025,86.93399811,86.51799774,86.5039978,86.5039978
