country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,1.43284,1.41237,1.49926,1.4946,2.20461,2.27028,2.26241,1.94031,,,
Afghanistan,0.23639,,0.34565,,,0.276,,,,0.34523,
Angola,,,0.36925,,0.79661,,0.78541,0.82566,,,
Albania,1.36375,1.35543,1.37539,1.39701,1.40728,1.43551,1.42608,1.47336,1.52645,1.56984,
Andorra,,,,,,,,,,,
Arab World,1.040940046,1.04136,1.04497,1.03854,1.03392,1.03775,1.06004,1.08843,1.07958,1.10959,
United Arab Emirates,,,,,,,,,,,
Argentina,1.49186,1.4916,1.54854,1.56222,1.60015,1.6127,1.6317,1.65707,1.66431,,
Armenia,1.23839,1.21927,1.18578,1.18178,1.13286,1.14013,1.19169,1.26878,1.27369,1.32958,
American Samoa,,,,,,,,,,,
Antigua and Barbuda,2.27844,2.68089,2.07896,2.24567,,,,,,,
Australia,,,,,,,1.44446,1.42971,1.42093,,
Austria,,,,,1.19662,1.19258,1.19299,1.18812,1.18463,,
Azerbaijan,0.98681,0.98937,1.01629,1.04769,1.11285,1.14195,1.16234,1.17749,1.14894,1.14603,
Burundi,,0.54268,0.46166,0.48504,0.44494,0.32848,,0.42868,0.44861,,
Belgium,1.24892,1.26628,1.27115,1.28248,1.29505,1.30332,1.3072,1.3015,1.30557,,
Benin,0.39077,0.3539,0.27232,0.34509,0.38012,0.36512,0.40193,0.42069,0.43936,,
Burkina Faso,0.48354,0.47905,0.49631,0.49568,0.49261,0.4859,0.52272,0.51226,0.52122,0.58203,
Bangladesh,0.59971,,0.69404,0.72256,,0.73733,,0.70066,0.70081,0.70714,
Bulgaria,1.32993,1.3229,1.29973,1.27459,1.27105,1.25935,1.27605,1.24473,,,
Bahrain,,,1.71121,2.03262,2.23749,1.97832,1.91666,1.86808,1.89295,1.8339,
"Bahamas, The",,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,
Belarus,1.47214,1.44655,1.42699,1.39937,1.35478,1.33626,1.32835,1.29107,1.24343,1.18604,
Belize,1.6627,1.59618,1.65815,1.65322,1.64151,1.65257,1.6079,1.61911,1.62002,,
Bermuda,2.5237,2.05683,2.06675,1.98982,2.22829,1.87512,2.3108,,1.68152,1.49869,
Bolivia,,,,,,,,,,,
Brazil,1.32152,,1.31336,1.34778,1.35137,1.36005,1.3398,1.38149,1.36569,,
Barbados,2.2039,2.18271,2.2455,,,,,,,,
Brunei Darussalam,1.78264,1.8665,1.76483,1.76696,1.85738,1.73538,1.70615,1.65575,1.62027,1.56193,
Bhutan,0.62377,0.62341,0.71036,0.72058,0.77025,,,,,0.99241,
Botswana,,,,,,1.22181,1.34077,1.41495,1.42784,,
Central African Republic,0.43867,0.32399,,0.36685,,,,,,,
Canada,1.40023,1.37998,1.36745,1.34253,1.33414,1.3352,1.34124,1.34047,1.34238,,
Central Europe and the Baltics,1.42276001,1.45724,1.47302,1.45108,1.44609,1.42869,1.41822,1.41031,1.40662,1.40662,
Switzerland,1.00766,0.98965,0.99166,0.9989,1.01215,1.01686,1.02857,1.01996,1.0256,,
Channel Islands,,,,,,,,,,,
Chile,1.06145,1.07413,1.09944,1.11801,1.11136,1.11579,1.11403,1.12963,1.14797,,
China,1.03799,1.06224,1.08883,1.10766,1.13296,1.16034,1.1852,1.2038,1.20716,1.2167,
Cote d'Ivoire,0.51951,0.50596,0.66164,,0.60875,0.57048,0.64515,0.67985,0.69028,,
Cameroon,0.78861,0.81304,0.73498,0.77308,0.77414,0.77933,0.80333,0.88143,0.81353,,
"Congo, Dem. Rep.",0.31044,,0.447,0.55217,0.45531,,,0.55882,,,
"Congo, Rep.",0.20984,,0.58378,0.62792,0.75135,,,,0.66874,,
Colombia,1.05402,1.10112,1.10166,1.13213,1.14832,1.15646,1.16556,1.16311,1.16554,1.16899,
Comoros,0.71393,0.74459,0.78625,0.86498,0.8673,0.81196,,,,,
Cabo Verde,1.34714,1.28666,1.35329,1.37691,1.44837,1.46338,1.46232,1.50472,1.49638,,
Costa Rica,,,1.25357,1.24865,1.22166,1.23713,1.3073,1.2353,1.25359,1.21458,
Caribbean small states,1.979689956,1.99455,1.98523,1.86853,1.96594,1.83699,1.73421,1.74748,,,
